replication,scenario,liters,operation_h,pause_h,monitored_h,efficiency
57,s3_integrated,241275.1486338224,119.19198697280335,94.55310524941868,213.74509222222207,0.5576361343954709
58,baseline,195448.8380301747,91.41143694444435,131.84685166666668,223.2582886111109,0.4094425228873454
58,s1_5s_visual,202035.73367473186,94.13815028794792,129.12013832316305,223.2582886111109,0.4216557910283244
58,s2_tpm,231274.00655463283,108.33918097602307,114.91910763508788,223.2582886111109,0.4852638692610284
58,s3_integrated,257869.6540694711,119.43485594615105,103.82343266495985,223.2582886111109,0.5349626958495243
59,baseline,216019.60285894485,96.38318305555546,146.92884972222217,243.3120327777776,0.39612994867205936
59,s1_5s_visual,223177.1974397682,99.28870304832122,144.0233297294564,243.3120327777776,0.4080714871138488
59,s2_tpm,258795.28501777505,115.38291706699857,127.92911571077897,243.3120327777776,0.47421788289599476
59,s3_integrated,287800.87908606813,127.41005455383765,115.90197822393996,243.3120327777776,0.5236488023188074
60,baseline,197533.51126195266,100.46342361111108,124.74349888888878,225.20692249999985,0.44609385224875203
60,s1_5s_visual,201334.5624423751,102.24711287230582,122.95980962769404,225.20692249999985,0.45401407619832773
60,s2_tpm,235234.89092586428,119.22850724551664,105.97841525448317,225.20692249999985,0.529417594814461
60,s3_integrated,256744.9286605268,129.29771776535623,95.90920473464361,225.20692249999985,0.5741285229158811
61,baseline,201727.41915759907,97.25358805555551,130.18958444444436,227.4431724999998,0.4275951086443608
61,s1_5s_visual,205617.47497793485,98.89721656429346,128.54595593570642,227.4431724999998,0.43482165446972715
61,s2_tpm,247865.3390394489,118.69667788346014,108.74649461653966,227.4431724999998,0.5218739985851202
61,s3_integrated,270208.1328204471,128.73719481186313,98.70597768813668,227.4431724999998,0.5660191660044808
62,baseline,187640.79909210195,85.68801249999991,108.4198841666666,194.10789666666656,0.4414452681806572
62,s1_5s_visual,193676.00666324724,88.16793395393333,105.93996271273323,194.10789666666656,0.4542212628543416
62,s2_tpm,213299.98465873167,97.79833320935697,96.30956345730957,194.10789666666656,0.5038349025918404
62,s3_integrated,235544.66557597855,107.13087927594536,86.97701739072116,194.10789666666656,0.5519140700386691
63,baseline,219751.57668724243,102.5407755555555,150.59579416666665,253.13656972222205,0.40508084496869823
63,s1_5s_visual,225511.18707255868,104.75974980618575,148.37681991603637,253.13656972222205,0.413846762327321
63,s2_tpm,268980.4348012652,125.2055499555997,127.93101976662233,253.13656972222205,0.49461660199074864
63,s3_integrated,296226.1841992938,136.5170443036395,116.61952541858258,253.13656972222205,0.5393019446121344
64,baseline,225839.84783797385,99.05877305555548,159.94069555555546,258.9994686111109,0.3824670899394499
64,s1_5s_visual,231132.07027393646,101.1122973704561,157.88717124065485,258.9994686111109,0.3903957715151793
64,s2_tpm,287159.8320999691,125.49325088613257,133.50621772497834,258.9994686111109,0.4845309203107338
64,s3_integrated,316945.21224340674,137.97048559735993,121.02898301375095,258.9994686111109,0.5327056705453066
65,baseline,198289.3840468249,100.60246666666661,133.34156861111103,233.94403527777763,0.43002791905856663
65,s1_5s_visual,203177.31865562117,102.90867481550751,131.0353604622701,233.94403527777763,0.43988586711910416
65,s2_tpm,239493.39599974066,120.59532303438466,113.34871224339295,233.94403527777763,0.515487915266545
65,s3_integrated,262542.07454396016,131.47087478132224,102.47316049645534,233.94403527777763,0.5619757504191887
